Event name,Start,End,Description,Image,Source,Type
American Polio Epidemic,1916,1979,"In the late 1940s, polio outbreaks in the U.S. increased in frequency and size, disabling an average of more than 35,000 people each year.",https://cdn.mos.cms.futurecdn.net/PdCDyn9yDJREzRjueoJypP-1200-80.jpg,https://www.livescience.com/worst-epidemics-and-pandemics-in-history.html,Pandemic
Asian Flu,1957,1958,"The Asian Flu pandemic was another global showing for influenza. With its roots in China, the disease claimed more than 1 million lives. The virus that caused the pandemic was a blend of avian flu viruses. ",https://cdn.mos.cms.futurecdn.net/oDBxvq4cYWGFGYfrGyyNPK-1200-80.jpg,https://www.livescience.com/worst-epidemics-and-pandemics-in-history.html,Pandemic
Swine Flu,2009,2010,"The 2009 swine flu pandemic was caused by a new strain of H1N1 that originated in Mexico in the spring of 2009 before spreading to the rest of the world. In one year, the virus infected as many as 1.4 billion people across the globe and killed between 151,700 and 575,400 people, according to the CDC.
",https://cdn.mos.cms.futurecdn.net/MVhVwUaWYDAsMwnfn36TfX-1200-80.jpg,https://www.livescience.com/worst-epidemics-and-pandemics-in-history.html,Pandemic
Great Depression (World Economic Crisis),1929,1939,"Between 1929 and 1939, there was a global economic crisis known as the Great Depression. Most nations in the world experienced the economic shock to varied degrees. The depression of the 20th century was the longest, deepest, and most pervasive one ever.",https://en.wikipedia.org/wiki/Great_Depression#/media/File:Lange-MigrantMother02.jpg,https://en.wikipedia.org/wiki/Great_Depression,Financial Crisis
Opec Oil Crisis,1973,1974," OPEC members started an oil embargo in October 1973 targeting countries that backed Israel in the Yom Kippur War. By the end of the embargo, a barrel of oil stood at $12, up from $3. Given that modern economies depend on oil, the higher prices and uncertainty led to the stock market crash of 1973–74, when a bear market persisted from January 1973 to December 1974 and the Dow Jones Industrial Average lost about 45% of its value.",https://www.thebalancemoney.com/thmb/ACvwZyV66a3q_xvlEZvdm8_uROk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-544377756-5a8c9a6ca9d4f900368f9603.jpg,https://www.investopedia.com/terms/f/financial-crisis.asp,Financial Crisis
Asian Crisis,1997,1998,"This crisis started in July 1997 with the collapse of the Thai baht. Lacking foreign currency, the Thai government was forced to abandon its U.S. dollar peg and let the baht float. The result was a huge devaluation that spread to much of East Asia, also hitting Japan, as well as a huge rise in debt-to-GDP ratios. In its wake, the crisis led to better financial regulation and supervision.",https://www.federalreservehistory.org/-/media/images/essays/asian-financial-crisis/asian_financial_crisis_1.jpg,https://www.investopedia.com/terms/f/financial-crisis.asp,Financial Crisis
 Global Financial Crisis,2007,2008,This financial crisis was the worst economic disaster since the Stock Market Crash of 1929. It started with a subprime mortgage lending crisis in 2007 and expanded into a global banking crisis with the failure of investment bank Lehman Brothers in September 2008. Huge bailouts and other measures meant to limit the spread of the damage failed and the global economy fell into recession,http://prod-upp-image-read.ft.com/8fe24522-abae-11e8-8253-48106866cd8a,https://www.investopedia.com/terms/f/financial-crisis.asp,Financial Crisis
Cuban Missile Crisis,1962,1962,"The Cuban Missile Crisis, also referred to as the October Crisis in Cuba, the Caribbean Crisis in Russia, or the Missile Scare, was a 35-day conflict between the United States and the Soviet Union (16 October – 20 November 1962) that turned into an international crisis when American missile deployments in Italy and Turkey were matched by Soviet deployments of similar ballistic missiles in Cuba.",https://en.wikipedia.org/wiki/Cuban_Missile_Crisis#/media/File:Soviet-R-12-nuclear-ballistic_missile.jpg,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis,War
Chernobyl Disaster,1986,1986,"At the Chernobyl nuclear power facility, the worst nuclear energy accident in history took place on April 26, 1986.  One of the four reactor units was destroyed by two explosions, which also released radioactive material into the atmosphere and contaminated a sizable portion of Russia, Belarus, and Ukraine. The North Cape and Central Europe were also affected by the radioactive cloud.",https://en.wikipedia.org/wiki/Chernobyl_disaster#/media/File:IAEA_02790015_(5613115146).jpg,https://en.wikipedia.org/wiki/Chernobyl_disaster,Disaster
Vienna Convention for the Protection of the Ozone Layer,1985,1985,"197 nations have ratified the Vienna Convention for the Protection of the Ozone Layer, which was signed on March 22, 1985. The United Nations Environment Programme is in charge of its administration, which primarily regulates formalities. The Montreal Protocol sets forth certain guidelines for ozone layer protection.","https://en.wikipedia.org/wiki/Vienna_Convention_for_the_Protection_of_the_Ozone_Layer#/media/File:The_Minister_of_State_for_Environment,_Forest_and_Climate_Change_(Independent_Charge)_(25).jpg",https://en.wikipedia.org/wiki/Vienna_Convention_for_the_Protection_of_the_Ozone_Layer,Climate Agreements
2011 Tōhoku earthquake and tsunami & Fukushima nuclear disaster,2011,2011,The Fukushima Daiichi nuclear power station in Japan sustained significant damage in March 2011 as a result of a powerful earthquake and ensuing tsunami. Radioactive materials were consequently released.,https://en.wikipedia.org/wiki/Fukushima_nuclear_disaster#/media/File:Fukushima_I_by_Digital_Globe.jpg,https://en.wikipedia.org/wiki/Fukushima_nuclear_disaster,Earthquake
Paris Agreement,2016,2022,"As a follow-up to the Kyoto Protocol, the Paris Agreement is a convention under international law that was reached by 195 Parties during the United Nations Framework Convention on Climate Change (UNFCCC).",https://en.wikipedia.org/wiki/Paris_Agreement#/media/File:COP21_participants_-_30_Nov_2015_(23430273715).jpg,https://en.wikipedia.org/wiki/Paris_Agreement,Climate Agreements
Montreal Protocol,1989,1989,"In accordance with international environmental law, the Montreal Protocol on Protection of The ozone Layer Layer is a legally binding multilateral environmental agreement. It is a concretization of the Vienna Convention for the Protection of the Ozone Layer, which was ratified on September 16, 1987.",https://ozone.unep.org/sites/default/files/resources/Screen%20Shot%202019-10-16%20at%2016.07.42.png,https://en.wikipedia.org/wiki/Montreal_Protocol,Climate Agreements
Kyoto Protocol,1997,2005,"A global agreement known as the Kyoto Protocol widened the 1992 United Nations Framework Convention on Climate Change (UNFCCC) and required signatories to cut greenhouse gas emissions.  It was founded on the widespread scientific agreement that (first) global warming is real and (second) human-caused CO2 emissions are to blame. On December 11, 1997, the Kyoto Protocol was ratified in Kyoto, Japan, and went into effect on February 16, 2005.",https://de.wikipedia.org/wiki/Kyoto-Protokoll#/media/Datei:Kyoto01.jpg,https://en.wikipedia.org/wiki/Kyoto_Protocol,Climate Agreements
Earthquake Haiti,2010,2010,"A catastrophic magnitude 7.0 Mw earthquake struck Haiti at 16:53 local time (21:53 UTC) on Tuesday, 12 January 2010.  Death toll estimates range from 100,000 to about 160,000 to Haitian government figures from 220,000 to 316,000.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Ruins_of_Haiti_National_Palace_-_Port_au_Prince_2012.jpg/520px-Ruins_of_Haiti_National_Palace_-_Port_au_Prince_2012.jpg,https://en.wikipedia.org/wiki/2010_Haiti_earthquake,Earthquake
Korean War,1950,1953,The Korean War (also known by other names) was fought between North Korea and South Korea from 1950 to 1953. ,https://upload.wikimedia.org/wikipedia/commons/c/ca/Korean_War_Montage_2.png,https://en.wikipedia.org/wiki/Korean_War,War
Vietnam War,1955,1975,"The Vietnam War (also known by other names) was a conflict in Vietnam, Laos, and Cambodia from 1 November 1955 to the fall of Saigon on 30 April 1975. It was the second of the Indochina Wars and was officially fought between North Vietnam and South Vietnam.",https://upload.wikimedia.org/wikipedia/commons/4/43/VNWarMontage.png,https://en.wikipedia.org/wiki/Vietnam_War,War
War in Afghanistan,2001,2021,"The War in Afghanistan was an armed conflict in Afghanistan from 2001 to 2021. It began when an international military coalition, led by the United States, launched an invasion of Afghanistan, subsequently toppling the Taliban-ruled Islamic Emirate and establishing the internationally recognized Islamic Republic three years later.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/U.S._Army_firefight_in_Kunar.jpg/1920px-U.S._Army_firefight_in_Kunar.jpg,https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%932021),War
Peru earthquake,1966,1966,The 1966 Peru earthquake occurred on October 17 at 16:41 local time (21:41 UTC).It had a magnitude of Mw 8.1. The epicenter was located offcoast near Huacho. ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Peru_physical_map.svg/500px-Peru_physical_map.svg.png,https://en.wikipedia.org/wiki/1966_Peru_earthquake,Earthquake
2004 Indian Ocean earthquake and tsunami,2004,2004,"An earthquake and a tsunami, known as the Boxing Day Tsunami and, by the scientific community, the Sumatra–Andaman earthquake, occurred at 07:58:53 local time (UTC+7) on 26 December 2004, with an epicentre off the west coast of northern Sumatra, Indonesia.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg/1920px-US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,Earthquake
2008 Sichuan earthquake,2008,2008,"The 2008 Sichuan earthquake (Chinese: 汶川大地震; pinyin: Wènchuān dà dìzhèn; lit. 'Great Wenchuan earthquake'), also known as the Great Sichuan earthquake or Wenchuan earthquake, occurred at 14:28:01 China Standard Time on May 12, 2008. Measuring at 8.0 Ms.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/2008%EB%85%84_%EC%A4%91%EC%95%99119%EA%B5%AC%EC%A1%B0%EB%8B%A8_%EC%A4%91%EA%B5%AD_%EC%93%B0%EC%B4%A8%EC%84%B1_%EB%8C%80%EC%A7%80%EC%A7%84_%EA%B5%AD%EC%A0%9C_%EC%B6%9C%EB%8F%99%28%E5%9B%9B%E5%B7%9D%E7%9C%81_%E5%A4%A7%E5%9C%B0%E9%9C%87%2C_%EC%82%AC%EC%B2%9C%EC%84%B1_%EB%8C%80%EC%A7%80%EC%A7%84%29_DSC09565.JPG/520px-2008%EB%85%84_%EC%A4%91%EC%95%99119%EA%B5%AC%EC%A1%B0%EB%8B%A8_%EC%A4%91%EA%B5%AD_%EC%93%B0%EC%B4%A8%EC%84%B1_%EB%8C%80%EC%A7%80%EC%A7%84_%EA%B5%AD%EC%A0%9C_%EC%B6%9C%EB%8F%99%28%E5%9B%9B%E5%B7%9D%E7%9C%81_%E5%A4%A7%E5%9C%B0%E9%9C%87%2C_%EC%82%AC%EC%B2%9C%EC%84%B1_%EB%8C%80%EC%A7%80%EC%A7%84%29_DSC09565.JPG,https://en.wikipedia.org/wiki/2008_Sichuan_earthquake,Earthquake
2005 Kashmir earthquake,2005,2005,"The 2005 Kashmir earthquake occurred at 08:50:39 Pakistan Standard Time on 8 October in Pakistani-administered Azad Kashmir. It was centred near the city of Muzaffarabad, and also affected nearby Balakot in Khyber Pakhtunkhwa and some areas of Indian-administered Jammu and Kashmir. It registered a moment magnitude of 7.6 and had a maximum Mercalli intensity of XI (Extreme).",https://upload.wikimedia.org/wikipedia/commons/1/1b/2005_Pakistan_earthquake.png,https://en.wikipedia.org/wiki/2005_Kashmir_earthquake,Earthquake
